seller_id,delivery_bucket,total_orders,good_reviews,bad_reviews,total_revenue
aba1721a889e04decc910aa13b768ef4,Early,82,74,6,10628.18
289cdb325fb7e7f891c38608bf9e0962,Early,116,108,4,10542.05
c33847515fa6305ce6feb1e818569f13,Early,121,83,28,10508.27
3b15288545f8928d3e65a8f949a28291,Early,110,84,16,10507.89
1b4c3a6f53068f0b6944d2d005c9fc89,Early,106,85,12,10503.4
00fc707aaaad2d31347cf883cd2dfe10,Early,135,92,32,10424.97
9e6229250fedbe05838fef417b74e7fb,Early,72,51,10,10356.53
1f9ab4708f3056ede07124aad39a2554,Early,72,57,4,10262.44
79ebd9a61bac3eaf882805ed4ecfa12a,Early,133,104,17,10214.2
8e6d7754bc7e0f22c96d255ebda59eba,Early,109,55,47,10182.68
213b25e6f54661939f11710a6fddb871,Early,159,115,26,10120.94
7202e2ba20579a9bd1acb29e61fe71f6,Early,48,36,8,10108.94
7901646fdd36a55f564ffaf2dbccaaf7,Early,23,23,0,10079.11
a6bd7d1ccdac48c6b33b28596b7eb122,Early,12,7,5,10043.62
6e386f64c84e482f0b9abf960797ee1b,Early,25,24,0,9995.87
99eaacc9e6046db1c82b163c5f84869f,Early,60,52,6,9988.17
d50d79cb34e38265a8649c383dcffd48,Early,60,52,3,9957.1
c8b0e2b0a7095e5d8219575d5e7e1181,Early,78,62,9,9888.83
09f952a5f58d2285b0372551ae8f9b01,Early,53,36,8,9878.94
e8b3a3a38279a82f0e5d006d5e5b7d2c,Early,81,62,13,9847.35
7aa4334be125fcdd2ba64b3180029f14,Early,202,177,13,9823.13
2b1a40c1daabc6ca280c4b815c101841,Early,31,19,5,9803.36
66922902710d126a0e7d26b0e3805106,Early,138,123,7,9738.06
d94a40fd42351c259927028d163af842,Early,101,77,12,9728.51000000001
530ec6109d11eaaf87999465c6afee01,Early,97,81,9,9656.13
8b8cfc8305aa441e4239358c9f6f2485,Early,13,10,2,9607.92
87b740daf17b5d1be335a64164ec6842,Early,10,8,2,9572.48
d6b1ce66b035a475f00c017792ff9769,Early,94,73,11,9565.52000000001
d1b65fc7debc3361ea86b5f14c68d2e2,Early,38,36,1,9537.82
75d34ebb1bd0bd7dde40dd507b8169c3,Early,57,45,9,9418.41
c510bc1718f0f2961eaa42a23330681a,Early,11,9,2,9399.13
a673821011d0cec28146ea42f5ab767f,Early,121,90,22,9385.47999999999
2e90cb1677d35cfe24eef47d441b7c87,Early,118,94,13,9384.26999999999
25e6ffe976bd75618accfe16cefcbd0d,Early,105,93,8,9316.74999999999
6edacfd9f9074789dad6d62ba7950b9c,Early,202,177,12,9315.39
1c5e4e49b9079480255b49d50aac1aa9,Early,12,11,1,9283.5
05f51e13da97139648b8125c31e5f51b,Early,51,50,1,9262.78
5d378b73ab7dd6f0418d743e5dcb0bd1,Early,5,4,1,9252.65
669ae81880e08f269a64487cfb287169,Early,177,145,22,9213.29
610f72e407cdd7caaa2f8167b0163fd8,Early,14,12,2,9198.8
82e0a475a88cc9595229d8029273f045,Early,78,50,27,9195.86
06532f10282704ef4c69168b914b77be,Early,8,8,0,9195.15
5882820ef11c4c068eea0677a7a879b4,Early,12,9,0,9166.24
0b35c634521043bf4b47e21547b99ab5,Early,68,40,11,9114.92
056b4ada5bbc2c50cc7842547dda6b51,Early,58,52,5,9080.86
a3e9a2c700480d9bb01fba070ba80a0e,Early,127,106,15,9043.13
a00824eb9093d40e589b940ec45c4eb0,Early,3,3,0,9020.48
4c2b230173bb36f9b240f2b8ac11786e,Early,306,225,65,8999.27000000002
c4d51195486dc781531876a7d00453d8,Early,12,9,1,8996.94
ac3508719a1d8f5b7614b798f70af136,Early,97,89,3,8967.31
2e1c9f22be269ef4643f826c9e650a52,Early,154,132,9,8953.31
70c27847eca8195c983ed7e798c56743,Early,84,70,12,8885.65
440dd6ab244315c632130ecfb63827b1,Early,77,60,5,8816.22
270297ead4c65a6cd2593960d2af6b21,Early,19,13,6,8807.04
66e0557ecc2b4dbea057e93f215f68d8,Early,22,18,1,8696.37
431af27f296bc6519d890aa5a05fdb11,Early,102,80,16,8693.08
05feb94f19d094d4b0f9281f0b1d4c99,Early,6,6,0,8655.96
c31eff8334d6b3047ed34bebd4d62c36,Early,97,69,14,8619.25
a7f13822ceb966b076af67121f87b063,Early,79,47,18,8559.24
48436dade18ac8b2bce089ec2a041202,Early,137,111,12,8509.51
6d66611d7c44cc30ce351abc49a68421,Early,154,118,18,8484.74
ff063b022a9a0aab91bad2c9088760b7,Early,89,75,8,8442.54
e26901d5ab434ce92fd9b5c256820a4e,Early,208,168,23,8414.14000000001
3c487ae8f8d7542beff5788e2e0aea83,Early,32,25,5,8411.98
7ea5bfa6c340f58f8e71fc1f0412b0d6,Early,94,80,8,8398.58
0be8ff43f22e456b4e0371b2245e4d01,Early,163,124,25,8371.17
6cd68b3ed6d59aaa9fece558ad360c0a,Early,152,132,6,8355.59
7b1222c3624aa89b9558b50a2594188c,Early,19,17,1,8275.56
80e6699fe29150b372a0c8a1ebf7dcc8,Early,92,81,7,8226.11
1d8dbc4f32378d715c717c1c1fc57bae,Early,86,61,13,8183.6
