seller_id,delivery_bucket,total_orders,good_reviews,bad_reviews,total_revenue
2a6fbeaa7ab9e5d59a35841a8da71ce4,Late,1,0,1,29.31
312ba1d77e9c332ef21f9598b7f64cd7,Slight Delay,1,0,1,29.58
2709af9587499e95e803a6498a5a56e9,Late,1,0,1,29.9
f214d28e8d8e3ef068748498ccc2f813,Slight Delay,3,0,1,29.92
c7bb64409aa480bb7d0335faaaf3d242,Early,4,1,2,30.04
2e2f44824ab87a0cb961f68bf4073e7f,Early,1,0,1,30.07
bbad7e518d7af88a0897397ffdca1979,Late,7,0,7,30.1
42b729f859728f5079499127a9c2ef37,Late,2,0,2,30.17
c24173065483e421f9e5e7f599de101d,Slight Delay,1,0,1,30.21
bf84056e679dbe9c69929847a40e338f,Late,1,0,1,30.26
f7ccf836d21b2fb1de37564105216cc1,Late,1,0,1,30.31
3afc536624bc2e65bddfb5db33cc01f3,Very Late,1,0,1,30.34
04e38a233f726ef161074ab1c9b0399a,Very Late,2,0,2,30.35
406822777a0b9eb5c50e442dd4cd3ec5,Late,1,0,1,30.58
e09887ca8c7bf8a4621ce481820414ef,Very Late,1,0,1,30.65
15b3b1b81484422eb41df68ac87f1f50,Early,1,0,1,30.66
c24173065483e421f9e5e7f599de101d,Very Late,1,0,1,30.88
95b293867b5862941c9cd74f756a3c68,Slight Delay,1,0,1,31.12
95b293867b5862941c9cd74f756a3c68,Very Late,1,0,1,31.12
4de6e4ba574aa9dfdc824bc44dc47fdd,Slight Delay,1,0,1,31.19
20a8b0dc55da94fe74d112082427c84f,Slight Delay,1,0,1,31.45
e3a386fc36e22064434e1fa256f6a9fa,Slight Delay,1,0,1,31.61
a6fe7de3d16f6149ffe280349a8535a0,Late,1,0,1,31.67
7ecd59e5e20407131822c1a68ac59c1f,Late,1,0,1,31.71
8b321bb669392f5163d04c59e235e066,Late,17,4,13,32.13
0ac4201fda2c68ebc0e47cb9423cf3c9,Late,1,0,1,32.21
cc5a78bbad32776dc4e3af205218368c,Slight Delay,1,0,1,32.26
ea00f977a203ff88adf7057cb7806998,Slight Delay,1,0,1,32.45
3da38366e7bd9baf6369071f782ecdf0,Slight Delay,1,0,1,32.51
7008613ea464bad5cb9b83456e1e6a8f,Very Late,1,0,1,32.75
87d30a6a0cbf89356e49324971ab1d24,Slight Delay,1,0,1,32.8
bccf933e006e9b94a6184af782963e77,Slight Delay,1,0,1,33.28
af3ef48d0e13835e529c29ac573c63e5,Slight Delay,1,0,1,33.29
c679fb69a36e1d8349e8c50a217b4d58,Late,1,0,1,33.42
80e6699fe29150b372a0c8a1ebf7dcc8,Late,1,0,1,33.46
8e4f041ff58e7845456d3482524014b3,Slight Delay,1,0,1,33.54
27a56ff04b34c2ba34ce6ba4d3b9d616,Very Late,1,0,1,33.85
cab85505710c7cb9b720bceb52b01cee,Late,1,0,1,34.45
ad420dd0c4f92f8af951ac24b86d0cf5,Slight Delay,1,0,1,34.89
15cd6eefe58588619aaed41dfa6621b1,Very Late,1,0,1,34.97
6ec1a01e866584bb679eb9b098345919,Late,1,0,1,35.37
66fd84ee7528c0c0de85d0f44a73d5ab,Late,1,0,1,35.6
6ee85be3693ed79a8e80718743d80655,Late,2,0,2,35.76
7299e27ed73d2ad986de7f7c77d919fa,Late,1,0,1,35.87
3d3ccf2b2f8134b10dce9dd446f0e075,Late,1,0,1,36.08
39c763cca83e654764b7a4a650fb9b7c,Slight Delay,1,0,1,36.09
3d4824f20035949c710eaf111f869d39,Slight Delay,2,0,2,36.36
8a40ae794fa3f9892cee24bd5af0488b,Late,2,0,2,36.45
ac6417315ae5da8f9a38ee11de6f7780,Slight Delay,1,0,1,36.48
c4fb51fb1c5b7c07bc5e67be6e7e8f6e,Slight Delay,2,0,2,36.49
3f3486b61f45078d4f31ee5e43d8c5bb,Late,1,0,1,36.95
8d92f3ea807b89465643c219455e7369,Late,1,0,1,37.19
0417b067eeab773d2f7061a726dc477f,Slight Delay,1,0,1,37.42
ef506c96320abeedfb894c34db06f478,Very Late,6,1,3,37.76
39c763cca83e654764b7a4a650fb9b7c,Late,1,0,1,37.79
a154d7316f158bb42e6fa18bbe3afd3a,Very Late,1,0,1,37.81
78c99c6dff4eeae5be99bf635ed21e3f,Late,2,0,2,37.82
11bfa66332777660bd0640ee84d47006,Slight Delay,10,2,8,37.94
be1e9e378700cecaa4ebf71433d7915c,Very Late,1,0,1,38.14
b9ca8e8baa5d4aa038394a700f63e69f,Slight Delay,1,0,1,38.27
1a3df491d1c4f1589fc2b934ada68bf2,Late,1,0,1,38.77
f181738b150df1f37cb0bd72e705b193,Slight Delay,2,0,1,38.83
cecd97bc34ed8330bd4cd15713eda670,Early,1,0,1,39.48
0c8380b62e38e8a1e6adbeba7eb9688c,Late,2,0,2,39.62
0c7533c71df861ec58ad7ff999ed0e8d,Late,1,0,1,39.64
080102cd0a76b09e0dcf55fcacc60e05,Late,1,0,1,39.86
4dc646b9b9e8e411ef48ba000ea3ac6f,Slight Delay,1,0,1,39.91
34056b8b55c1775a22af2331670a799c,Late,1,0,1,39.95
bc503e244f187939d10c92a5c8e378ce,Very Late,1,0,1,40.04
6e4a902d1054e4e17aa6eab87fac1c75,Slight Delay,1,0,1,40.39
